trigger,fluence_ch1,err_ch1,fluence_ch2,err_ch2,fluence_ch3,err_ch3,fluence_ch4,err_ch4,peak_flux_64ms,err_flux_64ms,time_flux_64ms,peak_flux_256ms,err_flux_256ms,time_flux_256ms,peak_flux_1024ms,err_flux_1024ms,time_flux_1024ms
7604.0,4.4388e-07,3.9842e-08,4.1318e-07,3.1277e-08,6.6216e-07,8.3856e-08,0.0,8.8973e-07,0.7957,0.1912,-0.384,0.5221,0.0928,5.632,0.4426,0.046,2.368
7605.0,9.7011e-07,2.3636e-08,1.6236e-06,2.3429e-08,3.4865e-06,5.7251e-08,1.3788e-06,4.1661e-07,4.081,0.2726,2.816,3.8223,0.1334,2.944,2.5429,0.0603,3.392
7606.0,1.3861e-07,1.7239e-08,1.6418e-07,1.7293e-08,7.3368e-07,5.4788e-08,6.6727e-07,6.3653e-07,0.5645,0.1819,-1.024,0.4485,0.0873,-0.704,0.3713,0.0434,5.568
7607.0,3.0148e-06,5.7895e-08,1.906e-06,3.3871e-08,1.93e-06,7.6329e-08,8.5499e-06,1.1496e-06,4.4804,0.2825,1.344,4.0865,0.137,1.472,2.886,0.0627,1.536
7608.0,6.834e-07,8.2057e-08,1.2465e-06,7.2874e-08,3.0005e-06,1.8295e-07,0.0,1.2455e-06,1.0416,0.1958,1.28,0.8029,0.0949,1.344,0.7059,0.0472,1.728
7609.0,9.2459e-07,3.0879e-08,1.4283e-06,3.2094e-08,2.448e-06,9.0222e-08,0.0,4.6301e-07,0.9927,0.2008,28.608,0.7252,0.0996,31.936,0.6122,0.0486,27.392
7614.0,3.8458e-07,2.3795e-08,6.0802e-07,2.1773e-08,2.1259e-06,5.2119e-08,8.6087e-07,3.5467e-07,1.2956,0.2129,2.624,1.2237,0.1039,2.752,1.1201,0.0516,3.328
7615.0,2.3685e-07,2.1819e-08,2.7956e-07,1.8635e-08,4.603e-07,4.7861e-08,7.6322e-09,3.1937e-07,0.6625,0.1776,1.408,0.442,0.0842,1.728,0.4318,0.0422,1.088
7616.0,6.6653e-09,3.9468e-09,6.2568e-09,2.8182e-09,2.3418e-08,8.1607e-09,0.0,1.1548e-07,1.6104,0.1899,0.0,0.6728,0.0839,0.128,0.1377,0.038,0.512
7617.0,9.0682e-07,5.6153e-08,9.0242e-07,4.0209e-08,3.4296e-06,1.3149e-07,6.1723e-06,1.673e-06,1.5237,0.2388,1.088,1.3675,0.1172,0.448,1.2313,0.058,1.92
