trigger,fluence_ch1,err_ch1,fluence_ch2,err_ch2,fluence_ch3,err_ch3,fluence_ch4,err_ch4,peak_flux_64ms,err_flux_64ms,time_flux_64ms,peak_flux_256ms,err_flux_256ms,time_flux_256ms,peak_flux_1024ms,err_flux_1024ms,time_flux_1024ms,name,burst_id,tjd,time_sec,ra_deg,dec_deg,gal_lon,gal_lat,error_radius,geocenter_angle,overwrite_flag,overwritten_flag,jd,datetime
444.0,1.8878e-07,6.9883e-09,2.5921e-07,7.4834e-09,5.823e-07,1.6244e-08,4.7278e-07,1.0593e-07,28.559,0.768,0.064,16.597,0.3,0.128,4.368,0.092,0.32,4B,910626,8433.0,26113.451,133.38,7.72,220.26,30.6,1.27,76.62,Y,N,2448433.5,1991-06-26 07:15:13.451
451.0,3.0934e-06,3.1095e-08,4.2095e-06,3.6739e-08,7.0203e-06,8.0691e-08,6.935e-06,5.0757e-07,17.457,0.947,5.632,16.923,0.467,5.696,15.386,0.225,5.952,4B,910627,8434.0,16157.739,197.99,-2.48,313.23,59.98,0.28,89.39,N,N,2448434.5,1991-06-27 04:29:17.739
465.0,8.7162e-08,1.8716e-08,6.1648e-08,1.4299e-08,2.3565e-07,4.3579e-08,0.0,2.791e-07,0.315,0.216,0.768,0.309,0.105,0.768,0.244,0.052,-0.192,4B,910629B,8436.0,18945.643,69.24,-58.42,268.07,-40.28,26.56,77.69,N,N,2448436.5,1991-06-29 05:15:45.643
467.0,2.5973e-07,1.0524e-08,4.7777e-07,1.4907e-08,2.0835e-06,3.5647e-08,3.9194e-06,2.4044e-07,8.998,0.514,0.32,7.729,0.242,0.448,4.376,0.097,1.024,4B,910629,8436.0,71748.267,63.52,8.4,184.4,-29.44,2.97,138.37,N,N,2448436.5,1991-06-29 19:55:48.267
469.0,4.371e-07,1.5368e-08,6.2964e-07,1.8639e-08,2.673e-06,3.7598e-08,6.9479e-06,3.8578e-07,4.424,0.4,2.688,4.222,0.198,2.688,3.82,0.095,3.264,4B,910630,8437.0,27422.315,304.7,35.13,73.54,-0.48,0.91,75.85,N,N,2448437.5,1991-06-30 07:37:02.315
472.0,9.1455e-07,9.4273e-08,1.0918e-06,7.7908e-08,1.98e-06,2.3103e-07,0.0,1.863e-06,1.395,0.434,-1.6,0.852,0.207,-1.536,0.681,0.102,-0.832,4B,910701,8438.0,13899.371,61.35,-53.42,263.08,-45.86,11.08,73.67,N,N,2448438.5,1991-07-01 03:51:39.371
473.0,2.774e-07,2.09e-08,3.3431e-07,2.1285e-08,4.4e-07,5.9148e-08,2.2791e-08,3.3101e-07,0.608,0.252,0.064,0.554,0.122,-0.32,0.443,0.06,0.256,4B,910702B,8439.0,17195.627,255.07,29.05,50.6,35.75,4.61,115.22,N,N,2448439.5,1991-07-02 04:46:35.627
474.0,1.2804e-08,1.7907e-09,3.3208e-08,3.1043e-09,3.8937e-07,1.0227e-08,4.8366e-06,1.7087e-07,10.641,0.586,0.064,5.782,0.234,0.128,1.552,0.082,0.192,4B,910702,8439.0,25193.131,87.56,24.82,184.06,-1.24,2.83,99.12,N,N,2448439.5,1991-07-02 06:59:53.131
480.0,1.1837e-08,1.7601e-09,1.6031e-08,1.9099e-09,1.145e-07,7.2916e-09,1.0105e-06,1.1838e-07,6.625,0.465,0.0,1.945,0.161,0.128,0.514,0.066,0.896,4B,910703,8440.0,18223.787,40.37,29.48,149.9,-27.56,2.05,154.66,N,N,2448440.5,1991-07-03 05:03:43.787
486.0,9.6414e-09,3.3339e-09,1.3888e-08,2.7498e-09,6.5324e-08,7.3057e-09,0.0,4.6022e-08,1.554,0.25,-0.256,1.088,0.117,-0.128,0.372,0.052,0.576,4B,910705B,8442.0,542.827,24.03,-65.98,295.81,-50.53,5.49,106.53,N,N,2448442.5,1991-07-05 00:09:02.827
491.0,1.2483e-09,1.4025e-09,3.3176e-09,1.673e-09,2.689e-08,4.7219e-09,1.1517e-06,1.6608e-07,0.612,0.271,0.0,0.386,0.122,0.128,0.114,0.054,0.192,4B,910705,8442.0,70459.563,219.79,-43.59,322.8,15.09,8.24,86.46,N,N,2448442.5,1991-07-05 19:34:19.563
493.0,1.7028e-07,1.2693e-08,1.8204e-07,1.3574e-08,3.2496e-07,2.5336e-08,0.0,3.1244e-07,1.283,0.249,0.576,1.096,0.121,0.704,0.952,0.06,1.152,4B,910706,8443.0,18289.003,256.63,-43.69,343.4,-1.75,2.26,98.76,N,N,2448443.5,1991-07-06 05:04:49.003
501.0,1.3824e-07,7.4931e-09,1.5032e-07,8.0585e-09,3.6058e-07,2.5701e-08,0.0,1.0169e-07,1.147,0.238,0.256,1.099,0.118,0.256,0.923,0.057,0.768,4B,910708,8445.0,34900.587,12.09,15.12,121.82,-47.75,2.62,90.92,N,N,2448445.5,1991-07-08 09:41:40.587
