time_relative_to_merger_sec,ligo_strain,bruno_flash_strain
-0.08273693265409321,2.450535999664246e-19,9.570383821399602e-40
-0.08249279016643385,2.7041324426945265e-19,1.1706991239822355e-39
-0.08224864767877449,2.3960389807487827e-19,1.4312065274801212e-39
-0.08200450519111513,2.07113731750792e-19,1.7486399666615703e-39
-0.08176036270345577,2.639133453990318e-19,2.1352049592509955e-39
-0.08151622021579641,2.819703057205005e-19,2.6056724173785007e-39
-0.08127207772813705,2.3603043823475253e-19,3.17790667402743e-39
-0.08102793524047769,2.3292224493512116e-19,3.8734998148257865e-39
-0.08078379275281833,2.5347454431690384e-19,4.718533221528562e-39
-0.08053965026515897,2.7965759091150286e-19,5.744491243743279e-39
-0.08029550777749961,2.676340657565957e-19,6.989356674612624e-39
-0.08005136528984025,2.2165765782884156e-19,8.498923350198297e-39
-0.07980722280218089,2.589248831550857e-19,1.0328367881024519e-38
-0.07956308031452153,3.0255844071433066e-19,1.2544130445420724e-38
-0.07931893782686217,2.6050386539685846e-19,1.522616394843181e-38
-0.07907479533920281,2.432944413598527e-19,1.8470621935814194e-38
-0.07883065285154345,2.642113841096391e-19,2.2393068753259105e-38
-0.07858651036388409,2.839518565486452e-19,2.7132310911725e-38
-0.07834236787622473,2.899337973170623e-19,3.285496687645895e-38
-0.07809822538856537,2.4335150102999073e-19,3.9760914026320293e-38
-0.07785408290090601,2.5213468039614833e-19,4.808977689987182e-38
-0.07760994041324665,3.145272059967902e-19,5.812865071927829e-38
-0.07736579792558729,2.8460013666433442e-19,7.022128933710613e-38
-0.07712165543792793,2.5104016890583388e-19,8.477902808808837e-38
-0.07687751295026857,2.731290093509242e-19,1.0229376060046625e-37
-0.07663337046260921,2.9141726763705697e-19,1.2335334565520181e-37
-0.07638922797494985,3.05825785355985e-19,1.4865988710201078e-37
-0.07614508548729049,2.6961487727236565e-19,1.790514083061751e-37
-0.07590094299963113,2.5129755608644384e-19,2.1552753453472287e-37
-0.07565680051197177,3.145746700439379e-19,2.5927990432923225e-37
-0.0754126580243124,3.120857826173453e-19,3.1172815684665786e-37
-0.07516851553665305,2.628590592174355e-19,3.745624893820913e-37
-0.07492437304899369,2.7704716401708027e-19,4.497939512955024e-37
-0.07468023056133433,2.9943617864062517e-19,5.398138413710363e-37
-0.07443608807367497,3.123878705190981e-19,6.4746380989343545e-37
-0.0741919455860156,2.9436848633894414e-19,7.761185398038648e-37
-0.07394780309835625,2.5835479175776364e-19,9.29783199397668e-37
-0.07370366061069689,3.0876568528720514e-19,1.1132082293010411e-36
-0.07345951812303753,3.3717159086730063e-19,1.332024457153096e-36
-0.07321537563537817,2.788683086003817e-19,1.5929020340135185e-36
-0.0729712331477188,2.7973535810216007e-19,1.9037372679308986e-36
-0.07272709066005945,3.098629915879021e-19,2.2738721048929622e-36
-0.07248294817240009,3.179336287513082e-19,2.7143517899521373e-36
-0.07223880568474073,3.1358570725437526e-19,3.238227148222235e-36
-0.07199466319708137,2.738627287887119e-19,3.860908975645959e-36
-0.071750520709422,2.9683645434167285e-19,4.600583244675549e-36
-0.07150637822176265,3.5016713483035573e-19,5.478697235176276e-36
