Run_Event_ID,Revision,Date_UTC,Time_UTC,Alert_Type,RA_deg,Dec_deg,Error90_arcmin,Error50_arcmin,Energy_TeV,Signalness,FAR_per_year,Notes
137603_30799022,0,23/02/01,06:20:54.42,BRONZE,346.1406,12.0381,30.80,12.00,1.2098e02,3.4770e-01,2.0701,IceCube Bronze event. The position error is statistical only there is no systematic added.
137571_16496893,1,23/01/22,03:50:02.00,BRONZE,16.7899,7.7800,186.59,105.00,1.0765e02,2.7309e-01,3.6241,IceCube Bronze event. The position error is statistical only there is no systematic added.
137571_16496893,0,23/01/22,03:50:02.00,BRONZE,17.6737,8.3806,80.11,31.21,1.0765e02,2.7309e-01,3.6241,IceCube Bronze event. The position error is statistical only there is no systematic added.
137537_52990531,1,23/01/12,06:44:50.60,BRONZE,24.3500,0.9000,75.60,35.99,1.1122e02,2.8432e-01,4.0476,IceCube Bronze event. The position error is statistical only there is no systematic added.
137537_52990531,0,23/01/12,06:44:50.60,BRONZE,24.8145,0.5131,30.80,12.00,1.1122e02,2.8432e-01,4.0476,IceCube Bronze event. The position error is statistical only there is no systematic added.
137487_35344578,1,22/12/29,07:25:27.88,GOLD,31.8999,4.1799,82.20,46.20,2.0531e02,5.4438e-01,1.0141,IceCube Bronze event. The position error is statistical only there is no systematic added.
137487_35344578,0,22/12/29,07:25:27.88,GOLD,32.5031,4.1964,46.30,18.03,2.0531e02,5.4438e-01,1.0141,IceCube Bronze event. The position error is statistical only there is no systematic added.
137469_77414913,1,22/12/24,00:55:09.29,BRONZE,335.7400,1.4199,32.81,17.60,1.1061e02,2.7823e-01,4.1153,IceCube Bronze event. The position error is statistical only there is no systematic added.
137469_77414913,0,22/12/24,00:55:09.29,BRONZE,335.8428,1.3964,30.80,12.00,1.1061e02,2.7823e-01,4.1153,IceCube Bronze event. The position error is statistical only there is no systematic added.
137467_64735045,0,22/12/23,07:43:00.52,GOLD,350.5486,34.7110,39.58,15.41,3.5270e02,7.9488e-01,0.2464,IceCube Bronze event. The position error is statistical only there is no systematic added.
137390_43495485,1,22/12/16,06:00:14.01,BRONZE,6.8600,10.4299,86.39,52.19,1.5563e02,4.1457e-01,1.5922,IceCube Bronze event. The position error is statistical only there is no systematic added.
137390_43495485,0,22/12/16,06:00:14.01,BRONZE,7.3111,11.2398,56.48,22.00,1.5563e02,4.1457e-01,1.5922,IceCube Bronze event. The position error is statistical only there is no systematic added.
137350_7930341,1,22/12/10,08:35:11.23,BRONZE,332.5799,22.7500,508.20,323.39,1.6466e02,5.0781e-01,0.9539,IceCube Bronze event. The position error is statistical only there is no systematic added.
137350_7930341,0,22/12/10,08:35:11.23,BRONZE,332.0924,23.8409,67.87,26.44,1.6466e02,5.0781e-01,0.9539,IceCube Bronze event. The position error is statistical only there is no systematic added.
137296_24212476,1,22/11/24,15:46:02.26,BRONZE,298.9300,3.7299,117.59,68.99,1.4365e02,3.4978e-01,2.7945,IceCube Bronze event. The position error is statistical only there is no systematic added.
137296_24212476,0,22/11/24,15:46:02.26,BRONZE,298.9316,3.4804,54.14,21.09,1.4365e02,3.4978e-01,2.7945,IceCube Bronze event. The position error is statistical only there is no systematic added.
137217_75180896,1,22/11/04,06:10:08.18,BRONZE,209.6200,15.0899,48.60,28.79,1.0859e02,3.1652e-01,2.6315,IceCube Bronze event. The position error is statistical only there is no systematic added.
137217_75180896,0,22/11/04,06:10:08.18,BRONZE,209.9405,15.1367,32.60,12.70,1.0859e02,3.1652e-01,2.6315,IceCube Bronze event. The position error is statistical only there is no systematic added.
137096_70551815,1,22/09/28,12:32:38.30,BRONZE,207.4199,10.4299,88.19,53.40,1.4315e02,3.7775e-01,1.9911,IceCube Bronze event. The position error is statistical only there is no systematic added.
137096_70551815,0,22/09/28,12:32:38.30,BRONZE,208.0925,10.0339,35.73,13.92,1.4315e02,3.7775e-01,1.9911,IceCube Bronze event. The position error is statistical only there is no systematic added.
137065_22012496,1,22/09/18,12:46:05.32,BRONZE,75.1500,3.5800,214.19,124.80,1.6834e02,4.1802e-01,1.7147,IceCube Bronze event. The position error is statistical only there is no systematic added.
137065_22012496,0,22/09/18,12:46:05.32,BRONZE,75.5684,3.4555,67.53,26.30,1.6834e02,4.1802e-01,1.7147,IceCube Bronze event. The position error is statistical only there is no systematic added.
137019_70165712,1,22/09/07,06:46:47.51,BRONZE,224.8100,44.7000,90.60,58.19,1.2776e02,4.6015e-01,0.4645,IceCube Bronze event. The position error is statistical only there is no systematic added.
137019_70165712,0,22/09/07,06:46:47.51,BRONZE,223.5357,45.0493,38.31,14.92,1.2776e02,4.6015e-01,0.4645,IceCube Bronze event. The position error is statistical only there is no systematic added.
136973_28816141,1,22/08/22,20:26:30.03,BRONZE,273.0799,21.5399,106.20,61.80,1.1492e02,3.8344e-01,2.0054,IceCube Bronze event. The position error is statistical only there is no systematic added.
136973_28816141,0,22/08/22,20:26:30.03,BRONZE,273.4834,22.1648,76.53,29.81,1.1492e02,3.8344e-01,2.0054,IceCube Bronze event. The position error is statistical only there is no systematic added.
136918_45252263,0,22/08/08,07:59:57.26,BRONZE,132.3328,-42.7168,39.13,14.09,5.4853e01,3.8646e-01,1.8772,IceCube Bronze event. The position error is statistical only there is no systematic added.
136783_66879340,1,22/06/29,23:51:31.69,BRONZE,163.9199,4.3300,34.79,17.99,1.1863e02,3.0109e-01,3.6375,IceCube Bronze event. The position error is statistical only there is no systematic added.
136783_66879340,0,22/06/29,23:51:31.69,BRONZE,164.1510,4.3017,30.80,12.00,1.1863e02,3.0109e-01,3.6375,IceCube Bronze event. The position error is statistical only there is no systematic added.
136775_22443736,1,22/06/27,17:51:54.27,BRONZE,165.5900,5.2999,172.79,109.20,1.2612e02,3.1383e-01,3.4538,IceCube Bronze event. The position error is statistical only there is no systematic added.
136775_22443736,0,22/06/27,17:51:54.27,BRONZE,165.4228,5.0000,30.80,12.00,1.2612e02,3.1383e-01,3.4538,IceCube Bronze event. The position error is statistical only there is no systematic added.
136766_7637140,1,22/06/24,16:13:16.40,GOLD,224.1200,41.3100,109.80,62.40,1.9297e02,6.0870e-01,0.1732,IceCube Bronze event. The position error is statistical only there is no systematic added.
136766_7637140,0,22/06/24,16:13:16.40,GOLD,224.3965,40.6862,30.80,12.00,1.9297e02,6.0870e-01,0.1732,IceCube Bronze event. The position error is statistical only there is no systematic added.
136662_35405932,1,22/05/24,07:41:32.18,BRONZE,47.2000,-3.2799,126.00,76.80,1.1604e02,3.3628e-01,2.8556,IceCube Bronze event. The position error is statistical only there is no systematic added.
136662_35405932,0,22/05/24,07:41:32.18,BRONZE,48.8497,-3.5219,30.80,12.00,1.1604e02,3.3628e-01,2.8556,IceCube Bronze event. The position error is statistical only there is no systematic added.
136627_61640402,1,22/05/13,23:23:12.60,GOLD,224.0300,-1.3400,62.40,38.40,2.0792e02,5.6014e-01,0.9425,IceCube Bronze event. The position error is statistical only there is no systematic added.
136627_61640402,0,22/05/13,23:23:12.60,GOLD,223.2208,-1.2193,30.80,12.00,2.0792e02,5.6014e-01,0.9425,IceCube Bronze event. The position error is statistical only there is no systematic added.
136615_14688828,1,22/05/09,18:19:04.11,GOLD,334.2500,5.3799,100.79,57.59,1.7681e02,4.4648e-01,1.5343,IceCube Bronze event. The position error is statistical only there is no systematic added.
136615_14688828,0,22/05/09,18:19:04.11,GOLD,334.6456,4.9529,54.43,21.20,1.7681e02,4.4648e-01,1.5343,IceCube Bronze event. The position error is statistical only there is no systematic added.
136588_56014830,1,22/05/01,22:50:58.63,BRONZE,311.5699,18.6799,58.19,32.40,1.2703e02,3.9646e-01,2.1096,IceCube Bronze event. The position error is statistical only there is no systematic added.
136588_56014830,0,22/05/01,22:50:58.63,BRONZE,311.6906,18.7115,30.80,12.00,1.2703e02,3.9646e-01,2.1096,IceCube Bronze event. The position error is statistical only there is no systematic added.
