SN_Name,SN_Time,SN_RA,SN_Dec,GRB_Time,GRB_RA,GRB_Dec,Angular_Sep_deg,GRB_Fluence_J_per_m2,Trigger_ID,Fluence_Total_J_per_m2,Bruno_Class,Time_Delay_s,Entropy_Candidate,mapped_burst_id
GRB 910814A,1991-08-14,58.00999999999999,45.22,1991-08-14 11:09:40.331,58.01,45.22,0.0,,676.0,4.186650000000001e-06,Below Threshold,40180.331,False,910814C
GRB 910814C,1991-08-14,346.35,30.43,1991-08-14 19:14:33.003,346.35,30.43,0.0,,678.0,2.507438e-05,Above Threshold,69273.003,False,910814
GRB 910815,1991-08-15,142.76999999999998,-36.05,1991-08-15 09:30:47.275,142.77,-36.05,0.0,,680.0,8.034910000000003e-08,Below Threshold,34247.275,False,910815
GRB 910816A,1991-08-16,221.03,-59.09,1991-08-16 12:12:01.579,221.03,-59.09,0.0,,685.0,1.20445e-07,Below Threshold,43921.579,False,910816B
GRB 910816B,1991-08-16,172.59999999999997,1.4800000000000002,1991-08-16 14:50:43.435,172.6,1.48,0.0,,686.0,2.24805e-07,Below Threshold,53443.435,False,910816
GRB 910817,1991-08-17,90.11,27.08,1991-08-17 17:00:25.579,90.11,27.08,0.0,,690.0,2.17972e-08,Below Threshold,61225.579,False,910817
GRB 910818,1991-08-18,268.34,-27.09,1991-08-18 13:44:45.931,268.34,-27.09,0.0,,692.0,4.33862e-07,Below Threshold,49485.931,False,910818
GRB 910821,1991-08-21,292.46,-63.52,1991-08-21 01:42:38.827,292.46,-63.52,0.0,,704.0,4.54652e-07,Below Threshold,6158.827,False,910821
GRB 910822,1991-08-22,269.86999999999995,43.74,1991-08-22 13:50:58.795,269.87,43.74,0.0,,711.0,2.863e-08,Below Threshold,49858.795,False,910822
GRB 910823,1991-08-23,105.64999999999998,8.06,1991-08-23 21:01:24.459,105.65,8.06,0.0,,717.0,5.44078e-08,Below Threshold,75684.459,False,910823
GRB 910829,1991-08-29,59.03,22.96,1991-08-29 22:39:42.699,59.03,22.96,0.0,,741.0,1.392886e-07,Below Threshold,81582.699,False,910829
GRB 910902,1991-09-02,299.08,-7.7,1991-09-02 22:55:35.019,299.08,-7.7,0.0,,752.0,7.246600000000002e-08,Below Threshold,82535.019,False,910902
GRB 910903,1991-09-03,238.34,13.1,1991-09-03 09:45:00.267,238.34,13.1,0.0,,753.0,7.902500000000002e-08,Below Threshold,35100.267,False,910903
GRB 910904,1991-09-04,354.15,-17.09,1991-09-04 15:34:50.155,354.15,-17.09,0.0,,755.0,7.34205e-08,Below Threshold,56090.155,False,910904
GRB 910905,1991-09-05,359.99999999999994,-81.05,1991-09-05 23:48:55.275,360.0,-81.05,0.0,,761.0,3.34537e-06,Below Threshold,85735.275,False,910905
GRB 910907,1991-09-07,136.54999999999998,-28.23,1991-09-07 01:05:22.603,136.55,-28.23,0.0,,764.0,2.3320100000000002e-07,Below Threshold,3922.603,False,910907
GRB 910908,1991-09-08,226.1,-15.53,1991-09-08 11:00:35.051,226.1,-15.53,0.0,,773.0,2.604010000000001e-07,Below Threshold,39635.051,False,910908
GRB 910914,1991-09-14,170.30999999999997,-33.4,1991-09-14 09:39:57.675,170.31,-33.4,0.0,,795.0,3.62381e-07,Below Threshold,34797.675,False,910914
GRB 910923,1991-09-23,52.52999999999999,-22.57,1991-09-23 18:23:26.315,52.53,-22.57,0.0,,815.0,2.284910000000001e-07,Below Threshold,66206.315,False,910923
GRB 910925,1991-09-25,265.67,-29.26,1991-09-25 03:35:06.091,265.67,-29.26,0.0,,816.0,3.103870000000001e-07,Below Threshold,12906.091,False,910925
GRB 910926A,1991-09-26,157.2,-1.36,1991-09-26 04:00:40.043,157.2,-1.36,0.0,,820.0,4.71629e-07,Below Threshold,14440.043,False,910926
GRB 910926B,1991-09-26,346.06999999999994,21.360000000000003,1991-09-26 18:25:56.843,346.07,21.36,0.0,,824.0,2.57734e-07,Below Threshold,66356.843,False,910926B
GRB 910927B,1991-09-27,50.16,-39.65,1991-09-27 23:26:52.779,50.16,-39.65,0.0,,829.0,1.002925e-06,Below Threshold,84412.779,False,910927
GRB 910930A,1991-09-30,93.42999999999998,44.51,1991-09-30 07:24:22.699,93.43,44.51,0.0,,840.0,4.186921e-07,Below Threshold,26662.699,False,910930B
GRB 910930B,1991-09-30,131.79999999999998,-20.62,1991-09-30 11:55:29.771,131.8,-20.62,0.0,,841.0,5.951250000000001e-07,Below Threshold,42929.771,False,910930
GRB 911004,1991-10-04,349.73999999999995,62.95,1991-10-04 01:27:09.739,349.74,62.95,0.0,,867.0,4.202048000000001e-07,Below Threshold,5229.739,False,911004
GRB 911005,1991-10-05,235.8,14.73,1991-10-05 07:37:44.811,235.8,14.73,0.0,,869.0,1.8758670000000005e-06,Below Threshold,27464.811,False,911005
