name,RA_deg,Dec_deg,redshift,datetime,maxabsmag,distance_mpc,type
GRB 920430B,37.61,-8.22,,1992/04/30,,,LGRB
GRB 920502B,154.82,45.42,,1992/05/02,,,LGRB
GRB 920502C,131.98999999999998,-84.96000000000001,,1992/05/02,,,LGRB
GRB 920503A,146.76,41.98,,1992/05/03,,,LGRB
GRB 920505,45.36999999999999,69.94,,1992/05/05,,,LGRB
GRB 920509,341.22,-82.43,,1992/05/09,,,LGRB
GRB 920511A,125.04,-48.96,,1992/05/11,,,LGRB
GRB 920511B,65.02999999999999,-45.6,,1992/05/11,,,LGRB
GRB 920511C,24.33,-37.01,,1992/05/11,,,LGRB
GRB 920513,211.16,-44.77,,1992/05/13,,,LGRB
GRB 920517B,204.1,-16.47,,1992/05/17,,,LGRB
GRB 920518,247.3,33.9,,1992/05/18,,,LGRB
GRB 920520A,190.03,-51.94,,1992/05/20,,,LGRB
GRB 920524,157.51999999999998,29.22,,1992/05/24,,,LGRB
GRB 920525A,229.21,37.330000000000005,,1992/05/25,,,LGRB
GRB 920525B,299.62999999999994,-42.05,,1992/05/25,,,LGRB
GRB 920525C,14.65,-67.13,,1992/05/25,,,LGRB
GRB 920526,104.49,39.31,,1992/05/26,,,LGRB
GRB 920608,21.79,5.72,,1992/06/08,,,LGRB
GRB 920609B,260.12999999999994,-72.08,,1992/06/09,,,LGRB
GRB 920610,147.82999999999996,-17.810000000000002,,1992/06/10,,,LGRB
GRB 920613A,312.91,-55.64,,1992/06/13,,,LGRB
GRB 920615A,258.3599999999999,-16.5,,1992/06/15,,,LGRB
GRB 920615C,16.65,24.23,,1992/06/15,,,LGRB
GRB 920617A,100.69,-64.52,,1992/06/17,,,LGRB
GRB 920617B,37.66,77.51,,1992/06/17,,,LGRB
GRB 920617C,19.04,21.47,,1992/06/17,,,LGRB
GRB 920618,315.99999999999994,-46.07,,1992/06/18,,,LGRB
GRB 920619A,140.17,-64.71000000000001,,1992/06/19,,,LGRB
GRB 920619B,155.27999999999997,22.47,,1992/06/19,,,LGRB
GRB 920620B,4.849999999999999,-0.36,,1992/06/20,,,LGRB
GRB 920620C,162.13,10.03,,1992/06/20,,,LGRB
GRB 920622B,162.1,47.17,,1992/06/22,,,LGRB
GRB 920622C,346.81,10.01,,1992/06/22,,,LGRB
GRB 920624,67.54999999999998,3.05,,1992/06/24,,,LGRB
GRB 920627B,166.01999999999998,-2.58,,1992/06/27,,,LGRB
GRB 920628A,296.29999999999995,66.85,,1992/06/28,,,LGRB
GRB 920628B,317.79,-27.32,,1992/06/28,,,LGRB
GRB 920701,314.64,33.44,,1992/07/01,,,LGRB
GRB 920707,276.64,-22.06,,1992/07/07,,,LGRB
GRB 920708,308.34,-49.91,,1992/07/08,,,LGRB
GRB 920710B,53.85,17.34,,1992/07/10,,,LGRB
GRB 920714B,215.48,-36.44,,1992/07/14,,,LGRB
GRB 920714C,140.36,-44.64,,1992/07/14,,,LGRB
GRB 920715,285.77,53.74,,1992/07/15,,,LGRB
GRB 920717B,20.75,-2.32,,1992/07/17,,,LGRB
GRB 920718B,296.39,-55.98,,1992/07/18,,,LGRB
GRB 920720A,203.02,36.87,,1992/07/20,,,LGRB
GRB 920720B,144.73999999999998,-10.3,,1992/07/20,,,LGRB
GRB 920721D,37.55,33.49,,1992/07/21,,,LGRB
GRB 920730A,22.1,33.9,,1992/07/30,,,LGRB
GRB 920730B,241.67,-10.7,,1992/07/30,,,LGRB
GRB 920801,157.86,68.9,,1992/08/01,,,LGRB
GRB 920802,101.35,-48.26,,1992/08/02,,,LGRB
GRB 920803B,134.70999999999998,-36.12,,1992/08/03,,,LGRB
GRB 920804B,286.4,50.69,,1992/08/04,,,LGRB
GRB 920804C,170.43999999999997,49.830000000000005,,1992/08/04,,,LGRB
GRB 920806,284.7399999999999,-10.68,,1992/08/06,,,LGRB
GRB 920812B,115.22,-37.91,,1992/08/12,,,LGRB
GRB 920813,206.22,-28.34,,1992/08/13,,,LGRB
GRB 920814A,258.68,-44.63,,1992/08/14,,,LGRB
GRB 920814B,226.61999999999995,-11.65,,1992/08/14,,,LGRB
GRB 920816,241.71,66.16000000000001,,1992/08/16,,,LGRB
GRB 920830,258.53,-73.99,,1992/08/30,,,LGRB
GRB 920901,261.65,16.060000000000002,,1992/09/01,,,LGRB
GRB 920902A,279.15000000000003,-20.7,,1992/09/02,,,LGRB
GRB 920912,256.11,-13.72,,1992/09/12,,,LGRB
GRB 920913,351.5799999999999,53.61,,1992/09/13,,,LGRB
GRB 920917,14.389999999999995,47.54,,1992/09/17,,,LGRB
GRB 920924,126.68,-68.74,,1992/09/24,,,LGRB
GRB 920925B,160.26,67.38,,1992/09/25,,,LGRB
GRB 921001A,324.42999999999995,32.28,,1992/10/01,,,LGRB
GRB 921003A,150.32,-14.71,,1992/10/03,,,LGRB
GRB 921008,257.61,87.18,,1992/10/08,,,LGRB
GRB 921015,123.03999999999996,41.69,,1992/10/15,,,LGRB
GRB 921017,198.49,-17.229999999999997,,1992/10/17,,,LGRB
GRB 921021,241.05,36.24,,1992/10/21,,,LGRB
GRB 921022B,253.78,-12.42,,1992/10/22,,,LGRB
GRB 921029A,34.13999999999999,-1.57,,1992/10/29,,,LGRB
GRB 921029B,128.61,63.81,,1992/10/29,,,LGRB
GRB 921031B,294.54,12.71,,1992/10/31,,,LGRB
GRB 921101,324.61999999999995,47.36,,1992/11/01,,,LGRB
GRB 921102C,134.41999999999996,-30.76,,1992/11/02,,,LGRB
GRB 921109,213.46,-33.07,,1992/11/09,,,LGRB
GRB 921110C,59.88999999999999,33.809999999999995,,1992/11/10,,,LGRB
GRB 921112D,77.97999999999999,30.21,,1992/11/12,,,LGRB
GRB 921118,350.44999999999993,50.32,,1992/11/18,,,LGRB
GRB 921123A,334.2399999999999,-53.25,,1992/11/23,,,LGRB
GRB 921127,129.03,-63.15,,1992/11/27,,,LGRB
GRB 921128,294.51,-38.96,,1992/11/28,,,LGRB
GRB 921203,233.61999999999995,21.03,,1992/12/03,,,LGRB
GRB 921205,339.11999999999995,5.8,,1992/12/05,,,LGRB
GRB 921206B,176.47999999999996,45.72,,1992/12/06,,,LGRB
GRB 921207A,357.69999999999993,26.91,,1992/12/07,,,LGRB
GRB 921207B,306.33,-42.93,,1992/12/07,,,LGRB
GRB 921208,7.4416666666666655,55.75,,1992/12/08,,,LGRB
GRB 921209B,332.97,-52.02,,1992/12/09,,,LGRB
GRB 921211,18.39,47.47,,1992/12/11,,,LGRB
GRB 921217,88.88999999999999,21.24,,1992/12/17,,,LGRB
GRB 921218,355.61999999999995,-55.31,,1992/12/18,,,LGRB
GRB 921222,85.67999999999999,-15.64,,1992/12/22,,,LGRB
GRB 921227,206.33,-25.65,,1992/12/27,,,LGRB
GRB 921230A,19.52,17.21,,1992/12/30,,,LGRB
GRB 921230B,150.53999999999996,28.63,,1992/12/30,,,LGRB
GRB 921230C,221.86,34.16,,1992/12/30,,,LGRB
GRB 930102,220.54,10.46,,1993/01/02,,,LGRB
GRB 930106A,199.45999999999995,-15.43,,1993/01/06,,,LGRB
GRB 930106C,6.079166666666667,2.0,,1993/01/06,,,LGRB
GRB 930106D,124.78999999999998,-32.62,,1993/01/06,,,LGRB
GRB 930108,94.62,-30.44,,1993/01/08,,,LGRB
GRB 930113A,328.31999999999994,9.54,,1993/01/13,,,LGRB
GRB 930114A,283.6599999999999,60.03,,1993/01/14,,,LGRB
GRB 930120,261.31,14.739999999999998,,1993/01/20,,,LGRB
