  2.257003E-01
  4.00E+01  4.80E+01  8.381426E+52  3.321961E+53  6.799800E+53  5.916770E+48  2.345100E+49  4.800240E+49
  4.80E+01  5.80E+01  5.071619E+51  2.419215E+52  1.390882E+53  4.313030E+47  2.057360E+48  1.182840E+49
  5.80E+01  6.80E+01  1.958770E+50  1.097457E+51  2.196359E+52  1.979230E+46  1.108920E+47  2.219300E+48
  6.80E+01  8.00E+01  4.523381E+48  2.924680E+49  2.559636E+51  5.368920E+44  3.471380E+45  3.038100E+47
  8.00E+01  9.50E+01  3.739490E+46  2.718203E+47  1.689457E+50  5.248900E+42  3.815380E+43  2.371390E+46
  9.50E+01  1.15E+02  7.079675E+43  5.663948E+44  4.443852E+48  1.192820E+40  9.542910E+40  7.487230E+44
  1.15E+02  1.45E+02  9.158474E+39  8.233386E+40  1.672311E+46  1.911810E+36  1.718700E+37  3.490910E+42
  1.45E+02  1.85E+02  3.853069E+34  4.032421E+35  6.056159E+42  1.021100E+31  1.068630E+32  1.604940E+39
  1.85E+02  2.35E+02  6.800298E+27  8.543989E+28  1.546897E+38  2.293440E+24  2.881510E+25  5.217000E+34
  2.35E+02  3.00E+02  2.985977E+19  4.423896E+20  1.549252E+32  1.282900E+16  1.900690E+17  6.656230E+28
 
  2.258270E-01
  0.00E+00  1.00E+00  1.322205E+54  8.016589E+53  1.024815E+54  1.223080E+48  7.415590E+47  9.479850E+47
  1.00E+00  2.50E+00  1.300139E+55  6.598031E+54  7.810810E+54  3.755330E+49  1.905780E+49  2.256080E+49
  2.50E+00  4.50E+00  4.721664E+55  2.404811E+55  1.922166E+55  2.683550E+50  1.366770E+50  1.092460E+50
  4.50E+00  7.00E+00  9.781485E+55  6.434104E+55  2.942058E+55  9.082040E+50  5.974020E+50  2.731680E+50
