name,ra_deg,dec_deg,redshift,lumdist_mpc,type,discover_date
GRB 920617A,100.69,-64.52,,,LGRB,1992/06/17
GRB 920617B,37.66,77.51,,,LGRB,1992/06/17
GRB 920617C,19.039999999999996,21.47,,,LGRB,1992/06/17
GRB 920618,315.99999999999994,-46.07,,,LGRB,1992/06/18
GRB 920619A,140.17,-64.71000000000001,,,LGRB,1992/06/19
GRB 920619B,155.27999999999997,22.47,,,LGRB,1992/06/19
GRB 920620B,4.849999999999999,-0.36,,,LGRB,1992/06/20
GRB 920620C,162.13,10.030000000000001,,,LGRB,1992/06/20
GRB 920622B,162.1,47.169999999999995,,,LGRB,1992/06/22
GRB 920622C,346.81,10.01,,,LGRB,1992/06/22
GRB 920624,67.54999999999998,3.05,,,LGRB,1992/06/24
GRB 920627B,166.01999999999998,-2.5799999999999996,,,LGRB,1992/06/27
GRB 920628A,296.29999999999995,66.85,,,LGRB,1992/06/28
GRB 920628B,317.78999999999996,-27.32,,,LGRB,1992/06/28
GRB 920701,314.63999999999993,33.44,,,LGRB,1992/07/01
GRB 920707,276.64,-22.060000000000002,,,LGRB,1992/07/07
GRB 920708,308.34,-49.91,,,LGRB,1992/07/08
GRB 920710B,53.85,17.34,,,LGRB,1992/07/10
GRB 920714B,215.47999999999996,-36.44,,,LGRB,1992/07/14
GRB 920714C,140.35999999999999,-44.64,,,LGRB,1992/07/14
GRB 920715,285.77,53.74,,,LGRB,1992/07/15
GRB 920717B,20.749999999999996,-2.32,,,LGRB,1992/07/17
GRB 920718B,296.39,-55.980000000000004,,,LGRB,1992/07/18
GRB 920720A,203.01999999999998,36.87,,,LGRB,1992/07/20
GRB 920720B,144.73999999999998,-10.3,,,LGRB,1992/07/20
GRB 920721D,37.55,33.49,,,LGRB,1992/07/21
GRB 920730A,22.099999999999998,33.9,,,LGRB,1992/07/30
GRB 920730B,241.67,-10.7,,,LGRB,1992/07/30
GRB 920801,157.85999999999999,68.9,,,LGRB,1992/08/01
GRB 920802,101.35,-48.26,,,LGRB,1992/08/02
GRB 920803B,134.70999999999998,-36.12,,,LGRB,1992/08/03
GRB 920804B,286.4,50.69,,,LGRB,1992/08/04
GRB 920804C,170.43999999999997,49.830000000000005,,,LGRB,1992/08/04
GRB 920806,284.7399999999999,-10.68,,,LGRB,1992/08/06
GRB 920812B,115.22,-37.91,,,LGRB,1992/08/12
GRB 920813,206.21999999999997,-28.34,,,LGRB,1992/08/13
GRB 920814A,258.68,-44.63,,,LGRB,1992/08/14
GRB 920814B,226.61999999999995,-11.65,,,LGRB,1992/08/14
GRB 920816,241.70999999999998,66.16000000000001,,,LGRB,1992/08/16
GRB 920830,258.53,-73.99,,,LGRB,1992/08/30
GRB 920901,261.65,16.060000000000002,,,LGRB,1992/09/01
GRB 920902A,279.15000000000003,-20.7,,,LGRB,1992/09/02
GRB 920912,256.10999999999996,-13.72,,,LGRB,1992/09/12
GRB 920913,351.5799999999999,53.61,,,LGRB,1992/09/13
GRB 920917,14.389999999999997,47.54,,,LGRB,1992/09/17
GRB 920924,126.67999999999999,-68.74,,,LGRB,1992/09/24
GRB 920925B,160.26,67.38,,,LGRB,1992/09/25
GRB 921001A,324.42999999999995,32.28,,,LGRB,1992/10/01
GRB 921003A,150.32,-14.709999999999999,,,LGRB,1992/10/03
GRB 921008,257.60999999999996,87.18,,,LGRB,1992/10/08
GRB 921015,123.03999999999996,41.69,,,LGRB,1992/10/15
GRB 921017,198.48999999999998,-17.229999999999997,,,LGRB,1992/10/17
GRB 921021,241.04999999999998,36.24,,,LGRB,1992/10/21
GRB 921022B,253.77999999999997,-12.42,,,LGRB,1992/10/22
GRB 921029A,34.13999999999999,-1.57,,,LGRB,1992/10/29
GRB 921029B,128.60999999999999,63.809999999999995,,,LGRB,1992/10/29
GRB 921031B,294.53999999999996,12.709999999999999,,,LGRB,1992/10/31
GRB 921101,324.61999999999995,47.36,,,LGRB,1992/11/01
GRB 921102C,134.41999999999996,-30.76,,,LGRB,1992/11/02
GRB 921109,213.45999999999998,-33.07,,,LGRB,1992/11/09
GRB 921110C,59.88999999999999,33.809999999999995,,,LGRB,1992/11/10
GRB 921112D,77.97999999999999,30.21,,,LGRB,1992/11/12
GRB 921118,350.44999999999993,50.32,,,LGRB,1992/11/18
GRB 921123A,334.2399999999999,-53.25,,,LGRB,1992/11/23
GRB 921127,129.03,-63.15,,,LGRB,1992/11/27
GRB 921128,294.51,-38.96,,,LGRB,1992/11/28
GRB 921203,233.61999999999995,21.029999999999998,,,LGRB,1992/12/03
GRB 921205,339.11999999999995,5.8,,,LGRB,1992/12/05
GRB 921206B,176.47999999999996,45.72,,,LGRB,1992/12/06
GRB 921207A,357.69999999999993,26.91,,,LGRB,1992/12/07
GRB 921207B,306.33,-42.93,,,LGRB,1992/12/07
GRB 921208,7.4416666666666655,55.75,,,LGRB,1992/12/08
GRB 921209B,332.96999999999997,-52.019999999999996,,,LGRB,1992/12/09
GRB 921211,18.39,47.47,,,LGRB,1992/12/11
GRB 921217,88.88999999999999,21.240000000000002,,,LGRB,1992/12/17
GRB 921218,355.61999999999995,-55.309999999999995,,,LGRB,1992/12/18
GRB 921222,85.67999999999999,-15.639999999999999,,,LGRB,1992/12/22
GRB 921227,206.32999999999996,-25.65,,,LGRB,1992/12/27
GRB 921230A,19.52,17.21,,,LGRB,1992/12/30
GRB 921230B,150.53999999999996,28.63,,,LGRB,1992/12/30
GRB 921230C,221.85999999999999,34.16,,,LGRB,1992/12/30
GRB 930102,220.53999999999996,10.459999999999999,,,LGRB,1993/01/02
GRB 930106A,199.45999999999995,-15.43,,,LGRB,1993/01/06
GRB 930106C,6.079166666666667,2.0,,,LGRB,1993/01/06
GRB 930106D,124.78999999999998,-32.62,,,LGRB,1993/01/06
GRB 930108,94.61999999999999,-30.44,,,LGRB,1993/01/08
GRB 930113A,328.31999999999994,9.54,,,LGRB,1993/01/13
GRB 930114A,283.6599999999999,60.03,,,LGRB,1993/01/14
GRB 930120,261.31,14.739999999999998,,,LGRB,1993/01/20
GRB 930121A,8.479166666666666,-20.810000000000002,,,LGRB,1993/01/21
GRB 930123,60.389999999999986,38.34,,,LGRB,1993/01/23
GRB 930127A,245.3,-19.96,,,LGRB,1993/01/27
GRB 930127B,310.94999999999993,-39.63,,,LGRB,1993/01/27
GRB 930131A,182.03999999999996,-8.239999999999998,,,LGRB,1993/01/31
GRB 930131B,79.83,-2.6,,,LGRB,1993/01/31
GRB 930201C,333.53,41.15,,,LGRB,1993/02/01
GRB 930203B,150.84,68.81,,,LGRB,1993/02/03
GRB 930206B,233.51,-66.15,,,LGRB,1993/02/06
GRB 930210,248.87999999999994,22.25,,,LGRB,1993/02/10
GRB 930212,38.349999999999994,8.889999999999999,,,LGRB,1993/02/12
GRB 930213A,13.929999999999998,49.41,,,LGRB,1993/02/13
GRB 930213B,199.96999999999997,-67.46000000000001,,,LGRB,1993/02/13
GRB 930214A,255.34999999999997,17.990000000000002,,,LGRB,1993/02/14
GRB 930214B,282.83,-44.51,,,LGRB,1993/02/14
GRB 930214C,194.79999999999998,26.77,,,LGRB,1993/02/14
GRB 930217,117.77999999999997,0.9805555555555555,,,LGRB,1993/02/17
GRB 930219B,330.63,35.080000000000005,,,LGRB,1993/02/19
GRB 930219C,242.81999999999996,57.51,,,LGRB,1993/02/19
GRB 930219D,58.28999999999999,-30.05,,,LGRB,1993/02/19
GRB 930221,145.12999999999997,-25.85,,,LGRB,1993/02/21
GRB 930301,296.21,-40.44,,,LGRB,1993/03/01
GRB 930302,90.33,5.430000000000001,,,LGRB,1993/03/02
GRB 930305A,40.92,-36.69,,,LGRB,1993/03/05
GRB 930309A,325.40999999999997,51.730000000000004,,,LGRB,1993/03/09
GRB 930309B,32.56999999999999,-28.16,,,LGRB,1993/03/09
