event_name,RA_deg,Dec_deg,detection_date_utc,distance_mpc,redshift,Type,fluence_j_m2,notes
AT2020aagp,11.253192,41.904122,2020/11/15,,,Candidate,,AT2020aagp.json
AT2020aagq,167.288958,36.037469,2020/11/12,,,Candidate,,AT2020aagq.json
AT2020aagr,164.333183,44.020239,2020/10/20,155.61,0.03427,Candidate,3.451491,AT2020aagr.json
AT2020aags,177.651988,-7.606289,2020/11/17,115.982,0.025704,Candidate,6.212988,AT2020aags.json
AT2020aagv,177.023904,-1.645725,2020/11/17,,,Candidate,,AT2020aagv.json
AT2020aagx,333.870729,68.586528,2020/11/17,,,Candidate,,AT2020aagx.json
AT2020aagz,70.129637,-1.160925,2020/11/17,,,Candidate,,AT2020aagz.json
AT2020aaha,182.722021,-9.816206,2020/11/17,,,Candidate,,AT2020aaha.json
AT2020aahb,155.739262,2.489886,2020/11/17,,,Candidate,,AT2020aahb.json
AT2020aahc,131.118225,2.715319,2020/11/17,,,Candidate,,AT2020aahc.json
AT2020aahd,24.503512,5.954083,2020/11/17,,,Candidate,,AT2020aahd.json
AT2020aahe,53.389633,3.287814,2020/11/17,,,Candidate,,AT2020aahe.json
AT2020aahf,21.610833,6.049669,2020/11/10,,,Candidate,,AT2020aahf.json
AT2020aahg,124.196658,39.334167,2020/11/10,,,Candidate,,AT2020aahg.json
AT2020aahh,151.378604,19.540325,2020/10/25,,,Candidate,,AT2020aahh.json
AT2020aahi,8.429088,5.293381,2020/11/05,,,Candidate,,AT2020aahi.json
AT2020aahj,4.577383,-2.520589,2020/11/17,,,Candidate,,AT2020aahj.json
AT2020aahk,4.046042,2.726019,2020/11/17,,,Candidate,,AT2020aahk.json
AT2020aahl,216.888737,2.976242,2020/02/29,,,Candidate,,AT2020aahl.json
AT2020aahm,335.389242,10.125006,2020/11/16,,,Candidate,,AT2020aahm.json
AT2020aahn,292.592229,48.814264,2020/11/16,,,Candidate,,AT2020aahn.json
AT2020aaho,288.176508,62.683428,2020/11/18,,,Candidate,,AT2020aaho.json
AT2020aahp,36.981625,20.334306,2020/11/16,,,Candidate,,AT2020aahp.json
AT2020aahq,52.885254,-4.116025,2020/11/16,,,Candidate,,AT2020aahq.json
AT2020aahy,8.394575,18.352767,2020/11/16,,,Candidate,,AT2020aahy.json
AT2020aahz,125.535625,3.726542,2020/11/16,,,Candidate,,AT2020aahz.json
AT2020aaia,14.715142,21.004392,2020/10/13,,,Candidate,,AT2020aaia.json
AT2020aaib,66.579262,-4.158661,2020/11/16,,,Candidate,,AT2020aaib.json
AT2020aaic,9.255862,17.618183,2020/11/16,,,Candidate,,AT2020aaic.json
AT2020aaid,29.908029,10.082244,2020/11/14,,,Candidate,,AT2020aaid.json
AT2020aaie,124.619583,8.420389,2020/11/16,,,Candidate,,AT2020aaie.json
AT2020aaif,11.820946,-3.302003,2020/11/13,,,Candidate,,AT2020aaif.json
AT2020aaig,8.154229,-3.354383,2020/11/16,,,Candidate,,AT2020aaig.json
AT2020aaih,12.271404,23.368261,2020/11/16,,,Candidate,,AT2020aaih.json
AT2020aaii,5.440979,-5.440622,2020/11/13,,,Candidate,,AT2020aaii.json
AT2020aaij,72.383471,-3.533083,2020/11/12,,,Candidate,,AT2020aaij.json
AT2020aail,7.690725,20.195589,2020/11/16,,,Candidate,,AT2020aail.json
AT2020aaim,80.891842,-7.971444,2020/11/08,,,Candidate,,AT2020aaim.json
AT2020aain,12.017538,19.240581,2020/11/16,,,Candidate,,AT2020aain.json
AT2020aaio,119.985579,1.819972,2020/11/16,,,Candidate,,AT2020aaio.json
AT2020aaip,91.114196,-22.927892,2020/11/16,,,Candidate,,AT2020aaip.json
AT2020aaiq,5.267437,-0.824561,2020/11/13,,,Candidate,,AT2020aaiq.json
AT2020aair,125.825971,2.601019,2020/11/16,,,Candidate,,AT2020aair.json
AT2020aais,32.578979,8.66095,2020/10/20,,,Candidate,,AT2020aais.json
AT2020aait,35.981367,11.579575,2020/11/16,,,Candidate,,AT2020aait.json
AT2020aaiu,10.006875,-6.596544,2020/11/16,,,Candidate,,AT2020aaiu.json
AT2020aaiv,107.637646,45.594911,2020/11/18,,,Candidate,,AT2020aaiv.json
AT2020aaiw,154.125121,-6.463858,2020/11/12,,,Candidate,,AT2020aaiw.json
AT2020aaiy,95.190083,-21.314639,2020/11/12,,,Candidate,,AT2020aaiy.json
AT2020aaiz,90.769783,46.442022,2020/11/12,,,Candidate,,AT2020aaiz.json
AT2020aaj,163.307971,21.334122,2020/01/16,,,Candidate,,AT2020aaj.json
AT2020aaja,100.664633,26.915158,2020/11/14,330.0,0.07,Candidate,0.767457,AT2020aaja.json
AT2020aajb,159.370558,19.863875,2020/11/14,635.425,0.131013,Candidate,0.206992,AT2020aajb.json
AT2020aajc,98.9728,36.698553,2020/11/14,420.0,0.09,Candidate,0.473787,AT2020aajc.json
AT2020aajd,325.415633,37.868383,2020/11/16,,,Candidate,,AT2020aajd.json
AT2020aaje,46.1393,32.031131,2020/11/16,,,Candidate,,AT2020aaje.json
AT2020aajg,111.298737,59.157961,2020/11/16,,,Candidate,,AT2020aajg.json
AT2020aajh,123.892375,-20.880781,2020/11/16,,,Candidate,,AT2020aajh.json
AT2020aaji,112.6709,36.646042,2020/11/16,1277.0,0.246,Candidate,0.051251,AT2020aaji.json
AT2020aajj,135.805188,-12.015069,2020/11/17,,,Candidate,,AT2020aajj.json
AT2020aajk,106.259942,35.928983,2020/11/18,,,Candidate,,AT2020aajk.json
AT2020aajl,318.497137,38.741131,2020/11/18,,,Candidate,,AT2020aajl.json
AT2020aajm,99.509658,65.589703,2020/11/18,757.7,0.154,Candidate,0.145575,AT2020aajm.json
AT2020aajn,41.765421,21.505447,2020/11/18,1600.0,0.3,Candidate,0.032647,AT2020aajn.json
AT2020aajq,76.908875,8.218739,2020/11/18,,,Candidate,,AT2020aajq.json
AT2020aajr,311.6904,1.390892,2020/11/18,,,Candidate,,AT2020aajr.json
AT2020aajs,7.757546,-10.370858,2020/11/18,679.45,0.139354,Candidate,0.181037,AT2020aajs.json
AT2020aajt,0.760971,17.787942,2020/11/16,,,Candidate,,AT2020aajt.json
AT2020aaju,29.850058,1.585022,2020/11/10,,,Candidate,,AT2020aaju.json
AT2020aajv,7.583704,-16.612806,2020/11/08,,,Candidate,,AT2020aajv.json
AT2020aajw,339.739725,-19.085192,2020/11/08,,,Candidate,,AT2020aajw.json
AT2020aajx,58.3446,-10.849475,2020/10/20,,,Candidate,,AT2020aajx.json
AT2020aajy,348.972637,12.585222,2020/11/10,,,Candidate,,AT2020aajy.json
AT2020aajz,81.634921,-7.715158,2020/11/10,,,Candidate,,AT2020aajz.json
AT2020aaka,74.684504,16.574919,2020/10/22,,,Candidate,,AT2020aaka.json
AT2020aakb,19.467287,3.294514,2020/11/10,,,Candidate,,AT2020aakb.json
AT2020aakc,352.959825,14.726433,2020/10/16,,,Candidate,,AT2020aakc.json
AT2020aakd,21.932042,4.434411,2020/11/10,,,Candidate,,AT2020aakd.json
AT2020aake,17.594525,11.917528,2020/10/23,,,Candidate,,AT2020aake.json
AT2020aakf,7.450833,14.961417,2020/10/23,,,Candidate,,AT2020aakf.json
