name,ra_deg,dec_deg,redshift,lumdist_mpc,type,discover_date,fluence_j_m2,Bruno_Trigger
SN2018gfw,307.72324999999995,-26.517894444444444,0.032,145.0,Ia,2018/09/07,3.9743150200849286e-07,False
SN2018gfx,38.298,-1.305625,0.050325,231.174,IIn,2018/09/08,1.563580758013145e-07,False
SN2018ggc,129.54454166666665,24.890755555555558,0.028624,129.436,Ia Pec,2018/09/08,4.987559914812728e-07,False
SN2018ggq,279.3215,49.14841944444444,0.09,420.0,Ia,2018/09/11,4.736959937487848e-08,False
SN2018ggt,14.260874999999997,-0.8738,0.0442,202.1,Ia,2018/09/13,2.0458117352481194e-07,False
SN2018ggu,115.76945833333332,50.289541666666665,0.0187,83.94,II P,2018/08/30,1.1859335701182686e-06,False
SN2018ggw,277.0637499999999,46.35340833333333,0.053,244.0,Ia,2018/09/09,1.403520110475773e-07,False
SN2018ggx,16.161666666666665,-4.258172222222222,0.03826,174.23,Ia,2018/09/09,2.7526590319957024e-07,False
SN2018ggz,26.973583333333327,42.19596944444445,0.074,346.0,Ia-99aa,2018/09/13,6.979850086645528e-08,False
SN2018ghb,104.61464999999998,-28.763566666666662,0.007595,33.808,Ia,2018/09/14,7.3107062356982415e-06,False
SN2018ghc,316.16,57.96918333333333,0.03,140.0,Ia,2018/09/08,4.263263943739063e-07,False
SN2018ghd,9.362208333333331,15.014558333333332,0.038511,175.408,II,2018/09/14,2.7158107246071924e-07,False
SN2018ghh,153.5843333333333,56.32123333333334,0.05,230.0,Ia,2018/09/11,1.579583616205777e-07,False
SN2018ghj,125.33499999999998,30.780291666666667,0.06465,300.0,II,2018/09/11,9.284441477476181e-08,False
SN2018ghp,3.42525,27.567625,0.069,321.0,Ia,2018/09/03,8.109390756813851e-08,False
SN2018ghr,344.8032916666666,0.4049888888888889,0.072,336.0,Ia,2018/09/07,7.401499902324761e-08,False
SN2018ghu,85.44167499999999,-11.710358333333332,0.084,395.0,Ia-91T,2018/09/11,5.355550283434426e-08,False
SN2018gif,51.81560833333333,8.710869444444445,0.039,178.0,Ia,2018/09/13,2.6372924282693354e-07,False
SN2018gio,65.17184166666665,-14.781294444444445,0.030785,139.429,Ia,2018/09/15,4.2982539145993464e-07,False
SN2018giq,38.62545833333333,-35.4075,0.0739,345.1,Ia-91T,2018/09/14,7.016303615713805e-08,False
SN2018git,25.01775,15.071297222222222,0.0713,332.4,Ia,2018/09/14,7.562689365719108e-08,False
SN2018giu,306.9550833333333,9.914416666666668,0.026,117.0,Ic BL,2018/09/15,6.104169281706891e-07,False
SN2018gj,248.00960416666663,78.21137222222222,0.004543,20.176,IIb,2018/01/12,2.052712628111458e-05,True
